Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 78, TIDL_ConvolutionLayer, 64, 52, 52, 64, 52, 52, 64, ROW_L, 0, 0, 1760, 2704, 2, 1, 2,,,,,,,,, L2, DMA, 3520, 3520, 64, 225408, 0, 0, ,,,,,,,, MSMC, CPU, 2752, 2704, 64, 176128, 0, 17100, ,,,,,,,, MSMC, DMA, 64, 64, 64, 4480, 0, 42100, ,,,,,,,, 
 80, TIDL_ConvolutionLayer, 64, 52, 52, 64, 52, 52, 64, ROW_L, 0, 0, 1760, 2704, 2, 1, 2,,,,,,,,, L2, DMA, 3520, 3520, 64, 225408, 0, 0, ,,,,,,,, MSMC, CPU, 2752, 2704, 64, 176128, 0, 42100, ,,,,,,,, MSMC, DMA, 64, 64, 64, 4480, 0, 6d100, ,,,,,,,, 
 83, TIDL_ConvolutionLayer, 64, 52, 52, 64, 52, 52, 64, ROW_L, 106, 128, 1696, 2704, 2, 1, 2,,,,,,,,, L2, DMA, 3520, 3520, 64, 225408, 0, 0, ,,,,,,,, MSMC, CPU, 2752, 2704, 64, 176128, 0, 76280, ,,,,,,,, MSMC, DMA, 576, 576, 64, 37248, 0, 6d100, ,,,,,,,, 
 87, TIDL_ConvolutionLayer, 64, 52, 52, 64, 52, 52, 64, ROW_L, 106, 128, 1696, 2704, 2, 1, 2,,,,,,,,, L2, DMA, 3520, 3520, 64, 225408, 0, 0, ,,,,,,,, MSMC, CPU, 2752, 2704, 64, 176128, 0, 76280, ,,,,,,,, MSMC, DMA_ONCE, 576, 576, 64, 37248, 0, e8000, ,,,,,,,, 
 91, TIDL_ConvolutionLayer, 64, 52, 52, 1, 52, 52, 64, ROW_L, 0, 0, 1696, 5408, 4, 1, 4,,,,,,,,, L2, DMA, 3392, 3392, 64, 220672, 0, 0, ,,,,,,,, MSMC, CPU, 5440, 5408, 1, 5504, 0, 6d200, ,,,,,,,, MSMC, DMA, 192, 128, 1, 256, 0, 6d100, ,,,,,,,, 
 82, TIDL_ConvolutionLayer, 64, 52, 52, 64, 52, 52, 64, ROW_L, 106, 128, 1696, 2704, 2, 1, 2,,,,,,,,, L2, DMA, 3520, 3520, 64, 225408, 0, 0, ,,,,,,,, MSMC, CPU, 2752, 2704, 64, 176128, 0, 42100, ,,,,,,,, MSMC, DMA, 576, 576, 64, 37248, 0, 6e780, ,,,,,,,, 
 86, TIDL_ConvolutionLayer, 64, 52, 52, 64, 52, 52, 64, ROW_L, 106, 128, 1696, 2704, 2, 1, 2,,,,,,,,, L2, DMA, 3520, 3520, 64, 225408, 0, 0, ,,,,,,,, MSMC, CPU, 2752, 2704, 64, 176128, 0, 42100, ,,,,,,,, MSMC, DMA, 576, 576, 64, 37248, 0, 6e780, ,,,,,,,, 
 89, TIDL_ConvolutionLayer, 64, 52, 52, 1, 52, 52, 64, ROW_L, 0, 0, 1696, 5408, 4, 1, 4,,,,,,,,, L2, DMA, 3392, 3392, 64, 220672, 0, 0, ,,,,,,,, MSMC, CPU, 5440, 5408, 1, 5504, 0, 6e780, ,,,,,,,, MSMC, DMA, 192, 128, 1, 256, 0, 6d100, ,,,,,,,, 
 90, TIDL_ConvolutionLayer, 64, 52, 52, 4, 52, 52, 64, ROW_L, 0, 0, 1696, 5408, 4, 1, 4,,,,,,,,, L2, DMA, 3392, 3392, 64, 220672, 0, 0, ,,,,,,,, MSMC, CPU, 5440, 5408, 4, 21760, 0, 70080, ,,,,,,,, MSMC, DMA, 192, 128, 4, 896, 0, 6fd00, ,,,,,,,, 
 93, TIDL_ConcatLayer, 6, 52, 52, 6, 52, 52, 6,  COL, 0, 0, 5408, 5408, 6, 0, 6,,,,,,,,, L2, DMA, 5460, 5460, 2, 11008, 0, 0, ,,,,,,,, MSMC, CPU, 5440, 5408, 6, 32640, 0, 42100, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 79, TIDL_ConvolutionLayer, 64, 52, 52, 64, 26, 26, 64, ROW_L, 52, 52, 1664, 2704, 2, 1, 2,,,,,,,,, L2, DMA, 3392, 3392, 64, 217216, 0, 0, ,,,,,,,, MSMC, CPU, 704, 676, 64, 45056, 0, 53200, ,,,,,,,, MSMC, DMA, 576, 576, 64, 37248, 0, 4a080, ,,,,,,,, 
 81, TIDL_ConcatLayer, 128, 26, 26, 128, 26, 26, 128,  COL, 0, 0, 676, 676, 2, 0, 2,,,,,,,,, L2, DMA, 832, 832, 128, 106496, 0, 0, ,,,,,,,, MSMC, CPU, 704, 676, 128, 90112, 0, 17100, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 84, TIDL_ConvolutionLayer, 128, 26, 26, 64, 26, 26, 128, ROW_L, 0, 0, 676, 676, 1, 1, 1,,,,,,,,, L2, DMA, 704, 704, 128, 90240, 0, 0, ,,,,,,,, MSMC, CPU, 704, 676, 64, 45056, 0, 2d100, ,,,,,,,, MSMC, DMA, 192, 128, 64, 12672, 0, a080, ,,,,,,,, 
